system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,Continent,Country,Depth_avg,Dis_avg,Elevation,Grand_id,Hylak_id,Lake_area,Lake_name,Lake_type,MSK_CLDPRB,MSK_SNWPRB,Poly_src,Pour_lat,Pour_long,QA10,QA20,QA60,Res_time,SCL,Shore_dev,Shore_len,Slope_100,TCI_B,TCI_G,TCI_R,Vol_res,Vol_src,Vol_total,WVP,Wshd_area,.geo
20210101T052219_20210101T052222_T44RMT_00000000000000000002,0.0093,0.0979,0.0389,0.0323,0.0886,0.091,0.0568,0.0511,0.0466,0.0469,0.0435,0.0405,0.0716,Asia,Nepal,1.4,519.871,243,0,176453,1.07,,1,0.0,0.0,SWBD,29.05748,80.11945,0.0,0.0,0.0,0.1,6.0E-4,2.31,8.45,0.72,0.0091,0.0094,0.0059,0.0,3,1.5,0.0258,15321.6,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.12144030937644,29.064558126436324],[80.12164486422277,29.064558126436324],[80.12164486422277,29.064738069173508],[80.12144030937644,29.064738069173508],[80.12144030937644,29.064558126436324]]]}"
20210102T045209_20210102T045723_T45RUK_0000000000000000003e,0.0142,0.0263,0.0106,0.0093,0.037,0.0462,0.0324,0.0651,0.0509,0.0512,0.0452,0.0304,0.0073,Asia,Nepal,1.6,0.815,100,0,1382921,0.16,,1,0.0,0.0,SWBD,26.931384,85.625386,0.0,0.0,0.0,3.7,6.0E-4,1.33,1.91,0.52,0.0039,0.0048,0.0034,0.0,3,0.26,0.1098,33.9,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[85.62448580716061,26.93197075212056],[85.62468635323063,26.93197075212056],[85.62468635323063,26.93215069485774],[85.62448580716061,26.93215069485774],[85.62448580716061,26.93197075212056]]]}"
20210102T045209_20210102T045723_T45RVK_0000000000000000003f,0.0195,0.10549677419354839,0.3047774193548387,0.2778774193548387,0.12091935483870968,0.15334516129032258,0.17705161290322582,0.19788064516129034,0.21292258064516126,0.2233096774193548,0.23100967741935483,0.2341967741935484,0.23493548387096774,Asia,Nepal,2.5,46.111,107,0,1382967,0.38,,1,9.677419354838711E-5,0.0,SWBD,26.886873,86.134493,0.0,0.0,0.0,0.2,5.129032258064515E-4,1.37,2.97,1.04,0.012325806451612903,0.01570322580645161,0.0180258064516129,0.0,3,0.95,0.11221612903225806,1603.8,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[86.13446431239618,26.89142414624158],[86.13466478644189,26.89142414624158],[86.13466478644189,26.891604088978763],[86.13446431239618,26.891604088978763],[86.13446431239618,26.89142414624158]]]}"
20210102T045209_20210102T045723_T45RVL_00000000000000000035,0.0058,0.2442190476190476,0.007180952380952381,0.00859047619047619,0.25729047619047624,0.2756,0.1883904761904762,0.15789999999999998,0.11556190476190477,0.09102857142857143,0.07872380952380953,0.0674047619047619,0.049733333333333324,Asia,Nepal,7.3,0.665,4764,0,1382295,0.25,,1,0.0,0.0,SWBD,27.687775,86.855208,0.0,0.0,0.0,31.4,6.0E-4,1.35,2.38,10.62,0.0249,0.0254,0.01926190476190476,0.0,3,1.8,0.0398,14.8,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[86.8584655351888,27.68727112495744],[86.85866745102028,27.68727112495744],[86.85866745102028,27.68745106769462],[86.8584655351888,27.68745106769462],[86.8584655351888,27.68727112495744]]]}"
20210102T045209_20210102T045723_T45RVL_0000000000000000002b,0.0058,0.11248064516129032,0.005196774193548388,0.007506451612903226,0.1738,0.19156451612903228,0.09284516129032257,0.06007419354838709,0.023738709677419353,0.014819354838709678,0.008916129032258064,0.005183870967741936,0.0025741935483870972,Asia,Nepal,10.0,0.48,4834,0,1381981,0.5,,1,0.0,0.0,SWBD,27.976311,86.68467,0.0,0.0,0.0,120.9,6.0E-4,1.25,3.15,16.28,0.017735483870967746,0.019538709677419355,0.009451612903225807,0.0,3,5.01,0.0398,14.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[86.6806853679664,27.974713697064665],[86.68088781929185,27.974713697064665],[86.68088781929185,27.97489363980185],[86.6806853679664,27.97489363980185],[86.6806853679664,27.974713697064665]]]}"
20210102T045209_20210102T045723_T45RVL_00000000000000000034,0.0058,0.157,0.0042,0.0059,0.148,0.1878,0.1176,0.0868,0.032,0.0273,0.0207,0.014,0.0474,Asia,Nepal,10.4,1.089,4831,0,1382221,0.6,,1,0.0,0.0,SWBD,27.776224,86.622457,0.0,0.0,0.0,66.7,6.0E-4,1.34,3.69,16.61,0.0151,0.0192,0.012,0.0,3,6.27,0.0398,25.6,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[86.61891808427293,27.777215652306495],[86.6191201668161,27.777215652306495],[86.6191201668161,27.777395595043682],[86.61891808427293,27.777395595043682],[86.61891808427293,27.777215652306495]]]}"
20210102T045209_20210102T045723_T45RVL_00000000000000000006,0.0058,0.1745,0.0044,0.005,0.2101,0.2422,0.1783,0.1437,0.0855,0.0496,0.0372,0.0245,0.0167,Asia,Nepal,19.6,3.124,4550,0,176729,1.29,,1,0.0,0.0,SWBD,27.868315,86.467708,0.0,0.0,0.0,93.8,6.0E-4,1.66,6.68,15.13,0.0215,0.0247,0.0182,0.0,3,25.33,0.0398,78.8,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[86.47714534791727,27.860560710096454],[86.47734758563121,27.860560710096454],[86.47734758563121,27.86074065283364],[86.47714534791727,27.86074065283364],[86.47714534791727,27.860560710096454]]]}"
20210102T045209_20210102T045723_T45RVL_0000000000000000002e,0.0058,0.241340625,0.006228124999999999,0.008056250000000001,0.26506875,0.2549625,0.152203125,0.13225625,0.106565625,0.077109375,0.060553125000000006,0.049665625,0.038225,Asia,Nepal,9.8,1.03,4368,0,1382126,0.31,,1,0.0,0.0,SWBD,27.873787,86.59221,0.0,0.0,0.0,33.8,6.0E-4,1.4,2.74,18.39,0.0255,0.025415624999999997,0.015515625,0.0,3,3.01,0.0398,26.6,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[86.58636655636951,27.874245691229476],[86.58656881962565,27.874245691229476],[86.58656881962565,27.87442563396666],[86.58636655636951,27.87442563396666],[86.58636655636951,27.874245691229476]]]}"
20210102T045209_20210102T045723_T45RVL_0000000000000000002d,0.0058,0.39996875000000004,0.00645625,0.00875625,0.426275,0.430825,0.32478749999999995,0.2793375,0.22383750000000002,0.1561,0.12723125,0.10753125,0.0906875,Asia,Nepal,7.7,1.932,5003,0,1382089,0.62,,1,0.0,0.0,SWBD,27.899106,86.914583,0.0,0.0,0.0,28.7,6.0E-4,1.26,3.52,9.01,0.0255,0.0255,0.0255,0.0,3,4.8,0.0398,48.9,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[86.92045130308836,27.898271327705448],[86.92065361123049,27.898271327705448],[86.92065361123049,27.898451270442635],[86.92045130308836,27.898451270442635],[86.92045130308836,27.898271327705448]]]}"
20210102T045209_20210102T045723_T45RWK_00000000000000000040,0.013,0.0966,0.0687,0.0611,0.0994,0.1236,0.0991,0.0896,0.0701,0.0726,0.0677,0.0669,0.1238,Asia,Nepal,3.6,1650.175,108,0,1383014,0.83,,1,4.0E-4,0.0,SWBD,26.823224,87.144412,0.0,0.0,0.0,0.1,6.0E-4,2.17,6.98,1.69,0.0102,0.0126,0.0101,0.0,3,2.99,0.0994,54436.2,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[87.14140518788457,26.831609764710656],[87.14160555595748,26.831609764710656],[87.14160555595748,26.83178970744784],[87.14140518788457,26.83178970744784],[87.14140518788457,26.831609764710656]]]}"
20210102T045209_20210102T045723_T45RWL_00000000000000000032,0.0058,0.1016,0.0062,0.0061,0.1066,0.1105,0.1018,0.0989,0.0922,0.076,0.0653,0.057,0.0607,Asia,Nepal,7.8,0.017,4243,0,1382173,0.18,,1,0.0,0.0,SWBD,27.835782,87.340833,0.0,0.0,0.0,938.8,6.0E-4,1.16,1.73,13.68,0.0109,0.0113,0.0105,0.0,3,1.38,0.0466,0.4,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[87.3416268320965,27.836873965300555],[87.34182902564298,27.836873965300555],[87.34182902564298,27.837053908037735],[87.3416268320965,27.837053908037735],[87.3416268320965,27.836873965300555]]]}"
20210102T045209_20210102T045723_T45RWL_0000000000000000002f,0.0058,0.1964,0.0123,0.015,0.2375,0.2446,0.1235,0.0945,0.0648,0.0554,0.0447,0.0378,0.0331,Asia,Nepal,11.4,0.934,4910,0,1382140,0.6,,1,0.0,0.0,SWBD,27.861961,87.860794,0.0,0.0,0.0,85.2,6.0E-4,1.51,4.16,20.23,0.0239,0.0243,0.0126,0.0,3,6.87,0.0466,19.7,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[87.86623112286156,27.869064215805377],[87.86643337644466,27.869064215805377],[87.86643337644466,27.869244158542557],[87.86623112286156,27.869244158542557],[87.86623112286156,27.869064215805377]]]}"
20210102T045209_20210102T045723_T45RWL_00000000000000000039,0.0058,0.1085,0.0059,0.0073,0.115,0.1153,0.0988,0.094,0.0852,0.0638,0.0548,0.0476,0.0429,Asia,Nepal,9.2,0.261,4179,0,1382339,0.14,,1,0.0,0.0,SWBD,27.63059,87.694669,0.0,0.0,0.0,58.2,6.0E-4,1.27,1.69,20.61,0.0117,0.0117,0.0102,0.0,3,1.31,0.0466,4.9,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[87.69547452859116,27.629922626309074],[87.6956763385305,27.629922626309074],[87.6956763385305,27.63010256904625],[87.69547452859116,27.63010256904625],[87.69547452859116,27.629922626309074]]]}"
20210103T051221_20210103T051217_T44RNR_0000000000000000002c,0.02,0.13603870967741935,0.4432677419354839,0.418658064516129,0.1487774193548387,0.1974225806451613,0.23473548387096774,0.27281290322580637,0.3031548387096774,0.3207129032258064,0.3202129032258064,0.33980000000000005,0.3455483870967742,Asia,Nepal,1.7,0.502,139,0,1382073,0.27,,1,0.0,0.0,SWBD,27.907844,81.840241,0.0,0.0,0.0,10.7,5.0E-4,2.1,3.85,0.53,0.015151612903225808,0.020170967741935483,0.022858064516129036,0.0,3,0.46,0.20219999999999996,25.8,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[81.84083511079793,27.912785701634412],[81.84103744608348,27.912785701634412],[81.84103744608348,27.912965644371596],[81.84083511079793,27.912965644371596],[81.84083511079793,27.912785701634412]]]}"
20210103T051221_20210103T051217_T44RNS_00000000000000000025,0.0222,0.0186,0.0099,0.0088,0.034,0.0475,0.0122,0.0104,0.0058,0.0064,0.0018,0.0058,0.0104,Asia,Nepal,8.6,0.233,1147,0,1381396,0.15,,1,0.0,0.0,SWBD,28.417185,82.056532,0.0,0.0,0.0,65.4,6.0E-4,1.53,2.12,17.33,0.0036,0.0049,0.0013,0.0,3,1.32,0.143,10.4,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[82.05792597107289,28.414358765429164],[82.0581292568893,28.414358765429164],[82.0581292568893,28.414538708166347],[82.05792597107289,28.414538708166347],[82.05792597107289,28.414358765429164]]]}"
20210103T051221_20210103T051217_T44RPR_0000000000000000003a,0.0324,0.06192903225806451,0.018016129032258067,0.010716129032258064,0.06637419354838711,0.07281290322580647,0.056554838709677424,0.06535806451612902,0.06687419354838708,0.06502580645161289,0.05961612903225807,0.06108387096774194,0.029022580645161288,Asia,Nepal,1.7,0.469,111,0,1382347,0.91,,1,0.0,0.0,SWBD,27.622812,83.095611,0.0,0.0,0.0,38.7,3.161290322580645E-4,1.55,5.24,0.35,0.006841935483870968,0.007483870967741935,0.005825806451612903,0.0,3,1.57,0.1805,15.8,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[83.09862293362511,27.62098658779797],[83.09882472709255,27.62098658779797],[83.09882472709255,27.62116653053515],[83.09862293362511,27.62116653053515],[83.09862293362511,27.62098658779797]]]}"
20210103T051221_20210103T051217_T44RPR_00000000000000000037,0.0324,0.1431516129032258,0.3479935483870968,0.32567419354838706,0.15642903225806454,0.19879677419354838,0.21699032258064513,0.24421612903225803,0.2593677419354839,0.2677838709677419,0.2640709677419355,0.27816129032258063,0.27837741935483873,Asia,Nepal,2.5,2.327,122,0,1382329,0.16,,1,0.0,0.0,SWBD,27.638497,82.822986,0.0,0.0,0.0,2.0,5.0E-4,1.48,2.1,1.28,0.01598709677419355,0.020293548387096773,0.022129032258064514,0.0,3,0.39,0.2080032258064516,84.8,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[82.82238606645497,27.638381541007462],[82.82258789199372,27.638381541007462],[82.82258789199372,27.63856148374464],[82.82238606645497,27.63856148374464],[82.82238606645497,27.638381541007462]]]}"
20210103T051221_20210103T051217_T44RPR_00000000000000000031,0.0318,0.03561428571428571,0.22797142857142857,0.1446142857142857,0.040914285714285716,0.06177142857142857,0.07365714285714285,0.10424285714285714,0.1420142857142857,0.1605142857142857,0.17065714285714284,0.18887142857142855,0.18692857142857144,Asia,Nepal,1.8,132.124,238,0,1382167,0.2,,1,0.0,0.0,SWBD,27.84021,82.495011,0.0,0.0,0.0,0.1,5.0E-4,1.43,2.23,0.59,0.004214285714285715,0.006314285714285714,0.007599999999999999,0.0,3,0.34,0.17042857142857143,4627.4,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[82.49610899572775,27.84099417467393],[82.49631119695312,27.84099417467393],[82.49631119695312,27.841174117411114],[82.49610899572775,27.841174117411114],[82.49610899572775,27.84099417467393]]]}"
20210103T051221_20210103T051217_T44RPR_0000000000000000003c,0.0325,0.10162380952380952,0.1786952380952381,0.11647619047619047,0.09997619047619047,0.1257904761904762,0.09678095238095238,0.13473809523809524,0.23389047619047618,0.26116666666666666,0.25889999999999996,0.26685714285714285,0.17315714285714284,Asia,Nepal,1.2,30.219,94,0,1382467,0.21,,1,5.761904761904762E-4,0.0,SWBD,27.466951,82.961934,0.0,0.0,0.0,0.1,7.0E-4,1.93,3.12,0.26,0.010261904761904762,0.012857142857142857,0.009923809523809524,0.0,3,0.25,0.1805,990.8,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[82.96580874771412,27.46934147917238],[82.96601026280854,27.46934147917238],[82.96601026280854,27.469521421909565],[82.96580874771412,27.469521421909565],[82.96580874771412,27.46934147917238]]]}"
20210103T051221_20210103T051217_T44RPR_00000000000000000038,0.0324,0.1034,0.3719,0.279,0.1147,0.1413,0.1595,0.1992,0.2375,0.258,0.2688,0.2886,0.2877,Asia,Nepal,2.2,2.502,121,0,1382336,0.14,,1,0.0,0.0,SWBD,27.632389,82.827255,0.0,0.0,0.0,1.4,5.0E-4,1.23,1.63,1.06,0.0117,0.0144,0.0162,0.0,3,0.31,0.1974,91.4,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[82.82791089743482,27.633195606482307],[82.82811271340917,27.633195606482307],[82.82811271340917,27.633375549219487],[82.82791089743482,27.633375549219487],[82.82791089743482,27.633195606482307]]]}"
20210103T051221_20210103T051217_T44RPS_00000000000000000025,0.0115,0.0439,0.0134,0.0103,0.0491,0.0582,0.0254,0.0236,0.0233,0.0246,0.0188,0.0236,0.0171,Asia,Nepal,8.6,0.233,1147,0,1381396,0.15,,1,0.0,0.0,SWBD,28.417185,82.056532,0.0,0.0,0.0,65.4,6.0E-4,1.53,2.12,17.33,0.0051,0.006,0.0027,0.0,3,1.32,0.0843,10.4,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[82.05792597107289,28.414358765429164],[82.0581292568893,28.414358765429164],[82.0581292568893,28.414538708166347],[82.05792597107289,28.414538708166347],[82.05792597107289,28.414358765429164]]]}"
