system.index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,Continent,Country,Depth_avg,Dis_avg,Elevation,Grand_id,Hylak_id,Lake_area,Lake_name,Lake_type,MSK_CLDPRB,MSK_SNWPRB,Poly_src,Pour_lat,Pour_long,QA10,QA20,QA60,Res_time,SCL,Shore_dev,Shore_len,Slope_100,TCI_B,TCI_G,TCI_R,Vol_res,Vol_src,Vol_total,WVP,Wshd_area,date,lid,rlh,mci,cyano_biov
20210101T052219_20210101T052222_T44RMT_00000000000000000002,0.0093,0.0979,0.0389,0.0323,0.0886,0.091,0.0568,0.0511,0.0466,0.0469,0.0435,0.0405,0.0716,Asia,Nepal,1.4,519.871,243,0,176453,1.07,NA,1,0,0,SWBD,29.05748,80.11945,0,0,0,0.1,6e-04,2.31,8.45,0.72,0.0091,0.0094,0.0059,0,3,1.5,0.0258,15321.6,2021-01-01,176453,0.0131567796610169,-0.00026000000000001,17.6638693936504
20210102T045209_20210102T045723_T45RUK_0000000000000000003e,0.0142,0.0263,0.0106,0.0093,0.037,0.0462,0.0324,0.0651,0.0509,0.0512,0.0452,0.0304,0.0073,Asia,Nepal,1.6,0.815,100,0,1382921,0.16,NA,1,0,0,SWBD,26.931384,85.625386,0,0,0,3.7,6e-04,1.33,1.91,0.52,0.0039,0.0048,0.0034,0,3,0.26,0.1098,33.9,2021-01-02,1382921,0.0432491525423729,0.0228333333333334,6.81677618958907
20210102T045209_20210102T045723_T45RVL_00000000000000000035,0.0058,0.244219047619048,0.00718095238095238,0.00859047619047619,0.257290476190476,0.2756,0.188390476190476,0.1579,0.115561904761905,0.0910285714285714,0.0787238095238095,0.0674047619047619,0.0497333333333333,Asia,Nepal,7.3,0.665,4764,0,1382295,0.25,NA,1,0,0,SWBD,27.687775,86.855208,0,0,0,31.4,6e-04,1.35,2.38,10.62,0.0249,0.0254,0.0192619047619048,0,3,1.8,0.0398,14.8,2021-01-02,1382295,0.032599273607748,0.00835142857142851,53.0589577257642
20210102T045209_20210102T045723_T45RVL_0000000000000000002b,0.0058,0.11248064516129,0.00519677419354839,0.00750645161290323,0.1738,0.191564516129032,0.0928451612903226,0.0600741935483871,0.0237387096774194,0.0148193548387097,0.00891612903225806,0.00518387096774194,0.0025741935483871,Asia,Nepal,10,0.48,4834,0,1381981,0.5,NA,1,0,0,SWBD,27.976311,86.68467,0,0,0,120.9,6e-04,1.25,3.15,16.28,0.0177354838709677,0.0195387096774194,0.00945161290322581,0,3,5.01,0.0398,14,2021-01-02,1381981,-0.00142361946418814,0.00408580645161286,0.290771282692916
20210102T045209_20210102T045723_T45RVL_00000000000000000034,0.0058,0.157,0.0042,0.0059,0.148,0.1878,0.1176,0.0868,0.032,0.0273,0.0207,0.014,0.0474,Asia,Nepal,10.4,1.089,4831,0,1382221,0.6,NA,1,0,0,SWBD,27.776224,86.622457,0,0,0,66.7,6e-04,1.34,3.69,16.61,0.0151,0.0192,0.012,0,3,6.27,0.0398,25.6,2021-01-02,1382221,0.00883305084745755,0.0148533333333333,1.11480924919195
20210102T045209_20210102T045723_T45RVL_00000000000000000006,0.0058,0.1745,0.0044,0.005,0.2101,0.2422,0.1783,0.1437,0.0855,0.0496,0.0372,0.0245,0.0167,Asia,Nepal,19.6,3.124,4550,0,176729,1.29,NA,1,0,0,SWBD,27.868315,86.467708,0,0,0,93.8,6e-04,1.66,6.68,15.13,0.0215,0.0247,0.0182,0,3,25.33,0.0398,78.8,2021-01-02,176729,0.0254203389830507,0.0148933333333333,45.1265164232221
20210102T045209_20210102T045723_T45RVL_0000000000000000002e,0.0058,0.241340625,0.006228125,0.00805625,0.26506875,0.2549625,0.152203125,0.13225625,0.106565625,0.077109375,0.060553125,0.049665625,0.038225,Asia,Nepal,9.8,1.03,4368,0,1382126,0.31,NA,1,0,0,SWBD,27.873787,86.59221,0,0,0,33.8,6e-04,1.4,2.74,18.39,0.0255,0.025415625,0.015515625,0,3,3.01,0.0398,26.6,2021-01-02,1382126,0.0309939353813558,0.00439312499999997,51.8191512194688
20210102T045209_20210102T045723_T45RVL_0000000000000000002d,0.0058,0.39996875,0.00645625,0.00875625,0.426275,0.430825,0.3247875,0.2793375,0.2238375,0.1561,0.12723125,0.10753125,0.0906875,Asia,Nepal,7.7,1.932,5003,0,1382089,0.62,NA,1,0,0,SWBD,27.899106,86.914583,0,0,0,28.7,6e-04,1.26,3.52,9.01,0.0255,0.0255,0.0255,0,3,4.8,0.0398,48.9,2021-01-02,1382089,0.0633245762711863,0.00838999999999997,74.6073485911131
20210102T045209_20210102T045723_T45RWL_00000000000000000032,0.0058,0.1016,0.0062,0.0061,0.1066,0.1105,0.1018,0.0989,0.0922,0.076,0.0653,0.057,0.0607,Asia,Nepal,7.8,0.017,4243,0,1382173,0.18,NA,1,0,0,SWBD,27.835782,87.340833,0,0,0,938.8,6e-04,1.16,1.73,13.68,0.0109,0.0113,0.0105,0,3,1.38,0.0466,0.4,2021-01-02,1382173,0.0309644067796609,0.00221999999999999,51.8187085617962
20210102T045209_20210102T045723_T45RWL_0000000000000000002f,0.0058,0.1964,0.0123,0.015,0.2375,0.2446,0.1235,0.0945,0.0648,0.0554,0.0447,0.0378,0.0331,Asia,Nepal,11.4,0.934,4910,0,1382140,0.6,NA,1,0,0,SWBD,27.861961,87.860794,0,0,0,85.2,6e-04,1.51,4.16,20.23,0.0239,0.0243,0.0126,0,3,6.87,0.0466,19.7,2021-01-02,1382140,0.0123949152542372,0.00230666666666663,0.939715175086388
